smiles1,pKa,pKa_type,smiles
CC(=O)C=C(C)O,8.85,acidic,CC(=O)C=C(C)O
CC(=O)C=C(O)C(C)C,9.46,acidic,CC(=O)C=C(O)C(C)C
CC(=O)C=C(O)CC(C)C,9.07,acidic,CC(=O)C=C(O)CC(C)C
CC(=O)C=C(O)c1ccccc1,8.69,acidic,CC(=O)C=C(O)c1ccccc1
CC(=O)C=CO,6.12,acidic,CC(=O)C=CO
CC(=O)CC(=O)Nc1ccc(C)cc1,10.15,acidic,CC(=O)CC(=O)Nc1ccc(C)cc1
CC(=O)CC(=O)Nc1cccc(C)c1,10,acidic,CC(=O)CC(=O)Nc1cccc(C)c1
CC(=O)CC(=O)Nc1ccccc1,9.94,acidic,CC(=O)CC(=O)Nc1ccccc1
CC(=O)CC(=O)O,3.59,acidic,CC(=O)CC(=O)O
CC(=O)CC(N)=O,9.46,acidic,CC(=O)CC(N)=O
CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,4.9875,acidic,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O
CC(=O)CC(c1ccccc1)c1c([S-])c2ccccc2oc1=O,6.6,acidic,CC(=O)CC(c1ccccc1)c1c([S-])c2ccccc2oc1=O
CC(=O)CCC(=O)O,4.64,acidic,CC(=O)CCC(=O)O
CC(=O)CCC(=O)[O-],4.63,acidic,CC(=O)CCC(=O)[O-]
CC(=O)CCCC(=O)O,4.66,acidic,CC(=O)CCCC(=O)O
CC(=O)CCCC(=O)[O-],4.66,acidic,CC(=O)CCCC(=O)[O-]
CC(=O)C[C@@H](c1ccccc1)c1c([O-])c2ccccc2oc1=O,6.655,acidic,CC(=O)C[C@@H](c1ccccc1)c1c([O-])c2ccccc2oc1=O
CC(=O)N(C)CC(=O)O,3.16,acidic,CC(=O)N(C)CC(=O)O
CC(=O)N(C)CC(=O)[O-],3.16,acidic,CC(=O)N(C)CC(=O)[O-]
CC(=O)N(C)O,8.73,acidic,CC(=O)N(C)O
CC(=O)N(C)c1nnc(S(N)(=O)=O)s1,7.4,acidic,CC(=O)N(C)c1nnc(S(N)(=O)=O)s1
CC(=O)N(O)CCc1ccccc1,8.83,acidic,CC(=O)N(O)CCc1ccccc1
CC(=O)N(O)c1ccccc1,8.36,acidic,CC(=O)N(O)c1ccccc1
CC(=O)N(c1ccccc1)c1nnc(S(N)(=O)=O)s1,7.32,acidic,CC(=O)N(c1ccccc1)c1nnc(S(N)(=O)=O)s1
CC(=O)N1CCC[C@H]1C(=O)[O-],3.21,acidic,CC(=O)N1CCC[C@H]1C(=O)[O-]
CC(=O)N1CS(=O)(=O)C[C@H]1C(=O)[O-],2.23,acidic,CC(=O)N1CS(=O)(=O)C[C@H]1C(=O)[O-]
CC(=O)N1CS(=O)C[C@H]1C(=O)[O-],2.5,acidic,CC(=O)N1CS(=O)C[C@H]1C(=O)[O-]
CC(=O)N1CSC[C@H]1C(=O)[O-],2.94,acidic,CC(=O)N1CSC[C@H]1C(=O)[O-]
CC(=O)N1C[C@@]2(C(C)C)OC(=O)C[C@H]2[C@@H]1C(=O)[O-],3.2,acidic,CC(=O)N1C[C@@]2(C(C)C)OC(=O)C[C@H]2[C@@H]1C(=O)[O-]
CC(=O)NBr,8.1,acidic,CC(=O)NBr
CC(=O)NC1CC(=O)NC1=O,8.85,acidic,CC(=O)NC1CC(=O)NC1=O
CC(=O)NCC(=O)O,3.6,acidic,CC(=O)NCC(=O)O
CC(=O)NCC(=O)[O-],3.6,acidic,CC(=O)NCC(=O)[O-]
CC(=O)NCCS,9.5,acidic,CC(=O)NCCS
CC(=O)NCc1cc(C)cc(CNC(C)=O)c1O,9,acidic,CC(=O)NCc1cc(C)cc(CNC(C)=O)c1O
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C#N)cccc32)c1,5.4,acidic,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C#N)cccc32)c1
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)(C)O)cccc32)c1,5.46,acidic,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)(C)O)cccc32)c1
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)O)cccc32)c1,5.62,acidic,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)O)cccc32)c1
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(CO)cccc32)c1,5.66,acidic,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(CO)cccc32)c1
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(Cl)cccc32)c1,6.03,acidic,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(Cl)cccc32)c1
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(F)cccc32)c1,5.62,acidic,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(F)cccc32)c1
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3ccccc32)c1,5.93,acidic,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3ccccc32)c1
CC(=O)NO,9.07,acidic,CC(=O)NO
CC(=O)NOCCc1ccccc1,9.58,acidic,CC(=O)NOCCc1ccccc1
CC(=O)NS(=O)(=O)c1ccc(C)cc1,4.8,acidic,CC(=O)NS(=O)(=O)c1ccc(C)cc1
CC(=O)N[C@H]1CC(=O)NC1=O,8.85,acidic,CC(=O)N[C@H]1CC(=O)NC1=O
CC(=O)N[C@H]1CONC1=O,5.8,acidic,CC(=O)N[C@H]1CONC1=O
CC(=O)Nc1ccc(C(=O)O)cc1,4.28,acidic,CC(=O)Nc1ccc(C(=O)O)cc1
CC(=O)Nc1ccc(O)cc1,9.38,acidic,CC(=O)Nc1ccc(O)cc1
CC(=O)Nc1ccc(OC(=O)Nc2cc(C(=O)c3ccccc3)ccc2O)cc1,9.49,acidic,CC(=O)Nc1ccc(OC(=O)Nc2cc(C(=O)c3ccccc3)ccc2O)cc1
